prediction,exp,new_ranks,original_score,new_scores,exp_length,new_rank,new_score,facts,original_rank
"(2381, 2, 12273)","[(3408, 6, 2381), (7129, 6, 10989), (12484, 2, 12273), (8561, 6, 5200), (2380, 6, 2381), (16342, 2, 12273), (7129, 2, 12273), (8561, 2, 12273), (2381, 6, 5200), (2381, 6, 10989), (3408, 6, 12273), (2381, 6, 21795), (17022, 2, 12273), (4109, 6, 2381), (16342, 6, 21795), (4109, 6, 17022), (2380, 6, 12484)]",[3],8.170172,[4.485509],17,3.0,4.485509,"[({(3408, 6, 2381), (4109, 6, 2381), (2381, 6, 5200), (2380, 6, 2381)}, 2.282578587313974, 'baseline'), ({(3408, 6, 2381), (4109, 6, 2381), (2380, 6, 2381), (2381, 6, 21795)}, 2.215579145699086, 'baseline'), ({(3408, 6, 2381), (2381, 6, 5200), (2380, 6, 2381), (2381, 6, 21795)}, 1.9830375658304082, 'baseline'), ({(3408, 6, 2381), (4109, 6, 2381), (2380, 6, 2381)}, 1.9688406920198178, 'baseline'), ({(2381, 6, 10989), (3408, 6, 2381), (4109, 6, 2381), (2380, 6, 2381)}, 1.9595013588901227, 'baseline'), ({(3408, 6, 2381), (4109, 6, 2381), (2380, 6, 2381)}, 1.9196377696466573, 'baseline'), ({(3408, 6, 2381), (4109, 6, 2381), (2380, 6, 2381)}, 1.9179030360425808, 'baseline'), ({(2381, 6, 10989), (3408, 6, 2381), (2380, 6, 2381), (2381, 6, 21795)}, 1.8151613112143696, 'baseline'), ({(3408, 6, 2381), (2380, 6, 2381), (2381, 6, 21795)}, 1.7681771127786097, 'baseline'), ({(3408, 6, 2381), (4109, 6, 2381), (2381, 6, 5200), (2381, 6, 21795)}, 1.7568174204819673, 'baseline')]",1
"(17802, 1, 3847)","[(17802, 1, 17801), (17801, 1, 24768), (3847, 1, 24768), (17801, 1, 17802), (3847, 1, 17802)]",[12065],8.961193,[-1.1129286],5,12065.0,-1.1129286,"[({(3847, 1, 17802), (17801, 1, 17802), (17802, 1, 17801)}, 7.07985827669618, 'baseline'), ({(3847, 1, 17802), (17801, 1, 17802)}, 1.2328425026226943, 'baseline'), ({(3847, 1, 17802), (17802, 1, 17801)}, 1.2211514087541757, 'baseline'), ({(3847, 1, 17802)}, 0.8237648481798834, 'baseline'), ({(17801, 1, 17802), (17802, 1, 17801)}, 0.2236090111276462, 'baseline'), ({(17802, 1, 17801)}, 0.05663780398009953, 'baseline'), ({(17801, 1, 17802)}, 0.05162433812086152, 'baseline'), ({(3847, 1, 17802)}, -0.1343116358454031, 'baseline'), ({(17802, 1, 17801)}, -1.0696925591037012, 'baseline')]",1
"(7673, 1, 8629)","[(8629, 1, 7673)]",[39],9.002323,[2.526742],1,39.0,2.526742,"[({(8629, 1, 7673)}, 2.889862260960942, 'baseline'), ({(8629, 1, 7673)}, 2.848252012806904, 'baseline'), ({(8629, 1, 7673)}, 2.6264402071421165, 'baseline'), ({(8629, 1, 7673)}, 2.500232362402328, 'baseline'), ({(8629, 1, 7673)}, 2.4152504341203094, 'baseline'), ({(8629, 1, 7673)}, 2.364084847916386, 'baseline'), ({(8629, 1, 7673)}, 2.331133966347015, 'baseline'), ({(8629, 1, 7673)}, 2.120484456592661, 'baseline'), ({(8629, 1, 7673)}, 2.09443293329534, 'baseline'), ({(8629, 1, 7673)}, 2.0552187960068844, 'baseline')]",1
"(26644, 1, 16054)","[(16053, 1, 16054), (16053, 3, 26644), (16054, 1, 26644), (26644, 3, 16053), (16053, 1, 4985), (4985, 1, 26644)]",[19095],9.2418165,[-4.4018874],6,19095.0,-4.4018874,"[({(16054, 1, 26644), (16053, 3, 26644), (26644, 3, 16053), (4985, 1, 26644)}, 10.739635458960286, 'baseline'), ({(16054, 1, 26644), (26644, 3, 16053), (4985, 1, 26644)}, 3.2841432584581334, 'baseline'), ({(16054, 1, 26644), (16053, 3, 26644), (4985, 1, 26644)}, 3.2778647415565114, 'baseline'), ({(16054, 1, 26644), (4985, 1, 26644)}, 3.260313315021874, 'baseline'), ({(16054, 1, 26644)}, 1.7735272260516601, 'baseline'), ({(16054, 1, 26644), (16053, 3, 26644), (26644, 3, 16053)}, 1.7648125496488503, 'baseline'), ({(16054, 1, 26644), (26644, 3, 16053)}, 1.5333834379702584, 'baseline'), ({(16054, 1, 26644), (16053, 3, 26644)}, 1.4820471472491712, 'baseline'), ({(4985, 1, 26644)}, 0.10790352066123854, 'baseline'), ({(26644, 3, 16053)}, -0.3828877987640949, 'baseline')]",1
"(29442, 1, 5305)","[(1754, 1, 8152), (8152, 1, 29442), (5305, 1, 29442), (29442, 1, 8152), (1754, 1, 5305)]",[7],8.90522,[4.3405867],5,7.0,4.3405867,"[({(29442, 1, 8152), (8152, 1, 29442), (5305, 1, 29442)}, 2.6294018432046866, 'baseline'), ({(29442, 1, 8152), (8152, 1, 29442), (5305, 1, 29442)}, 2.401563298845332, 'baseline'), ({(29442, 1, 8152), (8152, 1, 29442), (5305, 1, 29442)}, 2.398450505635869, 'baseline'), ({(29442, 1, 8152), (8152, 1, 29442), (5305, 1, 29442)}, 2.320120934228521, 'baseline'), ({(29442, 1, 8152), (5305, 1, 29442)}, 1.6218949090029204, 'baseline'), ({(8152, 1, 29442), (5305, 1, 29442)}, 1.5169935904165732, 'baseline'), ({(29442, 1, 8152), (5305, 1, 29442)}, 1.5122395237692892, 'baseline'), ({(29442, 1, 8152), (5305, 1, 29442)}, 1.410222116962058, 'baseline'), ({(29442, 1, 8152), (5305, 1, 29442)}, 1.379561486540018, 'baseline'), ({(29442, 1, 8152)}, -0.38549037597694313, 'baseline')]",1
"(1771, 1, 1770)","[(1770, 1, 1771), (21991, 0, 1771), (1770, 1, 21991)]",[20],8.726723,[4.017141],3,20.0,4.017141,"[({(1770, 1, 1771)}, 0.6342831099647954, 'baseline'), ({(1770, 1, 1771)}, 0.5145492980884248, 'baseline'), ({(21991, 0, 1771)}, 0.007210771492479001, 'baseline')]",1
"(22121, 0, 351)","[(512, 4, 22121), (512, 4, 33810), (33810, 0, 351)]",[1],8.308378,[7.4821405],3,1.0,7.4821405,"[({(512, 4, 22121)}, 9.921402529263688, 'baseline'), ({(512, 4, 22121)}, 3.4292343567774193, 'baseline')]",1
"(10990, 1, 4301)","[(6575, 0, 1380), (4301, 1, 10990), (10990, 0, 1380), (4301, 1, 6575)]",[3243],9.040138,[0.6062117],4,3243.0,0.6062117,"[({(4301, 1, 10990)}, 0.8760500436071921, 'baseline'), ({(4301, 1, 10990)}, 0.8672943595067973, 'baseline'), ({(4301, 1, 10990)}, 0.8091888897065973, 'baseline'), ({(4301, 1, 10990)}, 0.785560654412115, 'baseline'), ({(10990, 0, 1380)}, -0.13177867686528397, 'baseline'), ({(10990, 0, 1380)}, -0.14206596171243926, 'baseline'), ({(10990, 0, 1380)}, -0.17022605682493608, 'baseline'), ({(10990, 0, 1380)}, -0.18138976830304718, 'baseline')]",1
"(22873, 1, 37187)","[(37187, 1, 22873)]",[39662],9.392544,[-0.99867296],1,39662.0,-0.99867296,"[({(37187, 1, 22873)}, 0.15584091396991442, 'baseline'), ({(37187, 1, 22873)}, 0.13088611806650133, 'baseline'), ({(37187, 1, 22873)}, 0.12739757738559557, 'baseline'), ({(37187, 1, 22873)}, 0.09474281507519702, 'baseline')]",1
"(13776, 2, 121)","[(27523, 2, 121), (13776, 2, 916), (2181, 6, 13776), (30733, 2, 121), (2181, 6, 30733), (27523, 2, 916)]",[2],8.00515,[8.948507],6,2.0,8.948507,"[({(2181, 6, 13776), (13776, 2, 916)}, 8.683698580027924, 'baseline'), ({(13776, 2, 916)}, 3.642136975996093, 'baseline'), ({(2181, 6, 13776)}, -0.34665771180427146, 'baseline')]",1
"(17465, 1, 17464)","[(17464, 1, 17465)]",[39154],9.928814,[-2.4638252],1,39154.0,-2.4638252,"[({(17464, 1, 17465)}, 10.746344925119082, 'baseline'), ({(17464, 1, 17465)}, 3.139223826840779, 'baseline'), ({(17464, 1, 17465)}, 3.1331861135448773, 'baseline'), ({(17464, 1, 17465)}, 3.1266424757364417, 'baseline'), ({(17464, 1, 17465)}, 2.7938997202080373, 'baseline'), ({(17464, 1, 17465)}, 1.6945725250574937, 'baseline'), ({(17464, 1, 17465)}, 1.5591860513758253, 'baseline'), ({(17464, 1, 17465)}, 1.5516052939591314, 'baseline')]",1
"(33614, 5, 172)","[(31682, 5, 172), (31682, 0, 5517), (26515, 4, 33614), (33614, 0, 5517), (26515, 5, 172)]",[1],7.783125,[8.933729],5,1.0,8.933729,"[({(26515, 4, 33614), (33614, 0, 5517)}, 6.1164195752479875, 'baseline'), ({(33614, 0, 5517)}, 1.6908541486232116, 'baseline'), ({(26515, 4, 33614)}, 0.8566513539794962, 'baseline')]",1
"(7948, 1, 8993)","[(9238, 0, 22982), (7948, 1, 22982), (8993, 0, 9238), (8993, 1, 7948), (22982, 1, 7948)]",[40570],9.079611,[-2.3856652],5,40570.0,-2.3856652,"[({(22982, 1, 7948), (8993, 1, 7948), (7948, 1, 22982)}, 3.2872889538205685, 'baseline'), ({(8993, 1, 7948), (7948, 1, 22982)}, 1.691881255951267, 'baseline'), ({(8993, 1, 7948), (7948, 1, 22982)}, 1.60211474903145, 'baseline'), ({(8993, 1, 7948), (7948, 1, 22982)}, 1.5998202085667266, 'baseline'), ({(8993, 1, 7948), (22982, 1, 7948)}, 1.5869990104637246, 'baseline'), ({(22982, 1, 7948), (8993, 1, 7948), (7948, 1, 22982)}, 1.1989508236786603, 'baseline'), ({(8993, 1, 7948), (7948, 1, 22982)}, 1.0800028376038209, 'baseline'), ({(8993, 1, 7948)}, 1.0572996661759093, 'baseline'), ({(8993, 1, 7948), (7948, 1, 22982)}, 0.9123907578191713, 'baseline'), ({(7948, 1, 22982)}, -0.42828174221397536, 'baseline')]",1
