prediction,new_scores,new_ranks,facts,original_rank,new_score,#facts,new_rank,original_score
"(7058, 8, 7410)","[9.112267190802825e-11, 3.010252385138301e-07]","[8, 4]","[([(7058, 3, 220), (9990, 3, 220), (9990, 8, 7410)], 0.1652, 'xrule'), ([(7058, 1, 65), (7058, 3, 2832), (7058, 3, 427)], 0.09246551530484874, 'kelpie'), ([(7058, 3, 2832)], 0.09222182914955977, 'kelpie'), ([(7058, 1, 65), (7058, 3, 2832)], 0.08618410216038619, 'kelpie'), ([(13576, 1, 65), (7058, 1, 65), (13576, 8, 7410)], 0.057200015, 'xrule'), ([(23699, 3, 220), (7058, 3, 220), (23699, 8, 7410)], 0.054099977, 'xrule')]",1,1.5055818059286907e-07,6,6.0,0.0042869639582931995
"(5897, 8, 7410)","[1.1095330383625868e-11, 3.091432176915987e-07]","[12, 2]","[([(5897, 3, 9), (20629, 3, 9), (20629, 8, 7410)], 0.2715, 'xrule'), ([(5897, 3, 9), (20450, 3, 9), (20450, 8, 7410)], 0.22539997, 'xrule'), ([(5897, 3, 9), (25026, 8, 7410), (25026, 3, 9)], 0.19049996, 'xrule'), ([(5897, 2, 132)], 0.04997330438740491, 'kelpie'), ([(5897, 3, 479), (5897, 3, 427), (5897, 2, 132)], 0.049186742860940554, 'kelpie'), ([(5897, 3, 9)], 0.04862154551845177, 'kelpie')]",1,1.5457715651099116e-07,6,7.0,0.0011432610917836428
"(6083, 9, 8418)","[0.0020647067576646805, 4.720869806185135e-10]","[1, 79]","[([(6083, 3, 39), (17391, 9, 8418), (17391, 3, 39)], 0.13270003, 'xrule'), ([(18600, 9, 8418), (18600, 2, 69), (6083, 2, 69)], 0.1311, 'xrule'), ([(6083, 2, 69), (17391, 9, 8418), (17391, 2, 69)], 0.12800002, 'xrule'), ([(6083, 1, 6071)], 0.009625030608959265, 'kelpie'), ([(6083, 2, 68)], 0.009522552567769176, 'kelpie'), ([(6083, 3, 34)], 0.00909765712026538, 'kelpie')]",1,0.0010323536148758305,6,40.0,0.0004672103968914598
"(7065, 10, 7830)","[0.9970163106918335, 0.34015634655952454]","[1, 1]","[([(7065, 5, 7066), (7065, 3, 243)], 0.00785044015218321, 'kelpie'), ([(7065, 3, 915), (7065, 3, 39)], 0.007758910238353934, 'kelpie'), ([(7065, 5, 7066), (7065, 3, 39)], 0.0077320252881663025, 'kelpie'), ([(8831, 10, 7830), (8831, 3, 10), (7065, 3, 10)], 0.0, 'xrule'), ([(9516, 3, 10), (9516, 10, 7830), (7065, 3, 10)], 0.0, 'xrule'), ([(15578, 10, 7830), (15578, 3, 10), (7065, 3, 10)], 0.0, 'xrule')]",1,0.668586328625679,6,1.0,1.0907464265130784e-08
"(7289, 11, 7956)","[0.00025020656175911427, 1.1485436516522896e-05]","[1, 3]","[([(7289, 1, 2467), (7289, 3, 75), (7289, 3, 2192)], 0.21692044610418304, 'kelpie'), ([(7289, 1, 2467), (7289, 2, 27), (7289, 3, 2192), (7289, 3, 276)], 0.21331747942840756, 'kelpie'), ([(7289, 1, 2467)], 0.21063853372466887, 'kelpie'), ([(11759, 3, 277), (11759, 11, 7956), (7289, 3, 277)], 0.0, 'xrule'), ([(24745, 3, 277), (24745, 11, 7956), (7289, 3, 277)], 0.0, 'xrule'), ([(25003, 3, 277), (25003, 11, 7956), (7289, 3, 277)], 0.0, 'xrule')]",1,0.00013084599913781858,6,2.0,3.7333531508920714e-05
"(6966, 11, 8038)","[3.269025796726055e-07, 4.487641547257226e-08]","[4, 11]","[([(6966, 3, 2281), (6966, 3, 748)], 7.046224754716541e-05, 'kelpie'), ([(6966, 2, 68), (6966, 3, 2281), (6966, 3, 297), (6966, 3, 748)], 3.016448741016165e-06, 'kelpie'), ([(6966, 2, 31), (10332, 11, 8038), (10332, 2, 31)], 0.0, 'xrule'), ([(6966, 2, 31), (16781, 11, 8038), (16781, 2, 31)], 0.0, 'xrule'), ([(19681, 2, 31), (6966, 2, 31), (19681, 11, 8038)], 0.0, 'xrule'), ([(6966, 3, 10), (6966, 2, 68)], -2.742267983884893e-06, 'kelpie')]",1,1.8588949757258888e-07,6,7.5,5.255751602817327e-06
"(7751, 10, 7830)","[0.9650076627731323, 0.486961305141449]","[1, 1]","[([(7751, 3, 177), (7751, 4, 66), (7751, 3, 39), (7751, 8, 7427)], 0.0022933485139528123, 'kelpie'), ([(7751, 3, 177), (7751, 4, 66), (7751, 3, 2754), (7751, 8, 7427)], 0.002288984097809829, 'kelpie'), ([(7751, 3, 40), (7751, 3, 177), (7751, 4, 66), (7751, 8, 7427)], 0.0022832375971854964, 'kelpie'), ([(15535, 3, 479), (15535, 10, 7830), (7751, 3, 479)], 0.0, 'xrule'), ([(23512, 10, 7830), (23512, 3, 479), (7751, 3, 479)], 0.0, 'xrule'), ([(25281, 10, 7830), (25281, 3, 479), (7751, 3, 479)], 0.0, 'xrule')]",1,0.7259844839572906,6,1.0,3.855851460343729e-08
"(4952, 11, 7956)","[2.204224801971577e-05, 3.456018703218433e-06]","[1, 3]","[([(4952, 1, 941), (4952, 3, 4955)], 0.6303287589220022, 'kelpie'), ([(4952, 3, 880), (4952, 3, 38), (4952, 2, 30), (4952, 1, 941)], 0.5097849199292886, 'kelpie'), ([(4952, 3, 38), (4952, 1, 941)], 0.42715976846407555, 'kelpie'), ([(4952, 2, 30), (11211, 2, 30), (11211, 11, 7956)], 0.0, 'xrule'), ([(4952, 2, 30), (19240, 2, 30), (19240, 11, 7956)], 0.0, 'xrule'), ([(4952, 2, 30), (22481, 2, 30), (22481, 11, 7956)], 0.0, 'xrule')]",1,1.2749133361467102e-05,6,2.0,8.646970672998577e-05
"(4777, 11, 7956)","[5.862284160684794e-05, 3.9074996038834797e-07]","[2, 5]","[([(4777, 4, 169), (4777, 1, 1054), (4777, 3, 346)], 0.14437824037481595, 'kelpie'), ([(4777, 4, 169), (4777, 1, 1054), (4777, 3, 4782), (4777, 3, 434)], 0.1443694635904823, 'kelpie'), ([(4777, 4, 169), (4777, 1, 1054), (4777, 3, 434)], 0.14431118516008903, 'kelpie'), ([(9365, 3, 40), (4777, 3, 40), (9365, 11, 7956)], 0.0, 'xrule'), ([(9818, 3, 40), (4777, 3, 40), (9818, 11, 7956)], 0.0, 'xrule'), ([(11096, 3, 40), (11096, 11, 7956), (4777, 3, 40)], 0.0, 'xrule')]",1,2.9506795783618145e-05,6,3.5,6.771103926439537e-06
"(4912, 10, 7830)","[0.8949724435806274, 0.6552635431289673]","[1, 1]","[([(4912, 3, 4), (4912, 3, 504), (4912, 3, 748), (4912, 4, 66)], 0.0001457659061534226, 'kelpie'), ([(4912, 3, 748), (4912, 4, 66), (4912, 3, 40), (4912, 3, 2044)], 0.0001455664284985354, 'kelpie'), ([(4912, 3, 4), (4912, 3, 10), (4912, 3, 2966), (4912, 4, 66)], 0.00014542661369632977, 'kelpie'), ([(16511, 3, 7), (16511, 10, 7830), (4912, 3, 7)], 0.0, 'xrule'), ([(16838, 3, 7), (16838, 10, 7830), (4912, 3, 7)], 0.0, 'xrule'), ([(17908, 3, 7), (17908, 10, 7830), (4912, 3, 7)], 0.0, 'xrule')]",1,0.7751179933547974,6,1.0,4.383919005590542e-08
"(7392, 8, 7409)","[5.343780539596166e-12, 5.0441862242678326e-08]","[9, 2]","[([(7392, 3, 33)], 0.21264268033078965, 'kelpie'), ([(7392, 3, 10), (7392, 3, 33)], 0.20437815354584213, 'kelpie'), ([(7392, 1, 2467)], 0.20122003127617588, 'kelpie'), ([(7392, 3, 220), (23388, 8, 7409), (23388, 3, 220)], -0.00039999932, 'xrule'), ([(8161, 8, 7409), (8161, 3, 220), (7392, 3, 220)], -0.009099999, 'xrule'), ([(10818, 8, 7409), (7392, 3, 220), (10818, 3, 220)], -0.021399999, 'xrule')]",1,2.522360301160896e-08,6,5.5,4.9305614084005356e-05
"(7289, 8, 7410)","[8.500353199103472e-12, 1.3530491571600578e-07]","[7, 4]","[([(7289, 3, 9), (16023, 3, 9), (16023, 8, 7410)], 0.2328, 'xrule'), ([(7289, 3, 39), (9970, 3, 39), (9970, 8, 7410)], 0.21350001, 'xrule'), ([(22285, 8, 7410), (7289, 3, 39), (22285, 3, 39)], 0.18020001, 'xrule'), ([(7289, 3, 41)], 0.05454257410740464, 'kelpie'), ([(7289, 3, 39)], 0.054536807320868234, 'kelpie'), ([(7289, 3, 33)], 0.05453219541846642, 'kelpie')]",1,6.765670803460244e-08,6,5.5,0.0023090641479939222
"(6383, 8, 7427)","[9.889388841253371e-14, 1.2154811601661208e-09]","[44, 9]","[([(6383, 3, 7), (24690, 8, 7427), (24690, 3, 7)], 0.1353, 'xrule'), ([(6383, 2, 68), (23625, 2, 68), (23625, 8, 7427)], 0.12849998, 'xrule'), ([(6383, 3, 3058), (23625, 3, 3058), (23625, 8, 7427)], 0.118099995, 'xrule'), ([(6383, 3, 476)], 4.161859092362125e-06, 'kelpie'), ([(6383, 3, 303)], -0.00024303664836254214, 'kelpie'), ([(6383, 3, 733)], -0.00041305471130926745, 'kelpie')]",1,6.077900270272667e-10,6,26.5,0.0007060354109853506
"(5897, 10, 7830)","[0.7534372806549072, 0.10779677331447601]","[1, 2]","[([(5897, 3, 5901), (5897, 3, 479), (5897, 4, 5898), (5897, 5, 5899)], 0.0001782283770663313, 'kelpie'), ([(5897, 3, 476), (5897, 3, 149), (5897, 2, 31), (5897, 4, 5898)], 0.00017753005975280117, 'kelpie'), ([(5897, 3, 10), (5897, 3, 40), (5897, 3, 9), (5897, 5, 5899)], 0.00017598493738180812, 'kelpie'), ([(9116, 3, 479), (5897, 3, 479), (9116, 10, 7830)], 0.0, 'xrule'), ([(5897, 3, 479), (9782, 3, 479), (9782, 10, 7830)], 0.0, 'xrule'), ([(19767, 10, 7830), (5897, 3, 479), (19767, 3, 479)], 0.0, 'xrule')]",1,0.4306170269846916,6,1.5,1.0150869478309232e-08
"(5665, 8, 7427)","[8.282412841502385e-14, 3.797612890821256e-09]","[33, 6]","[([(15502, 8, 7427), (15502, 3, 41), (5665, 3, 41)], 0.00069999695, 'xrule'), ([(15502, 8, 7427), (15502, 3, 9), (5665, 3, 9)], 0.00049996376, 'xrule'), ([(5665, 3, 41), (14330, 8, 7427), (14330, 3, 41)], 0.00039994717, 'xrule'), ([(5665, 3, 479)], 0.00018362003632549606, 'kelpie'), ([(5665, 3, 111)], 0.0001426178612120406, 'kelpie'), ([(5665, 3, 40)], 0.00014078693922883599, 'kelpie')]",1,1.8988478574748354e-09,6,19.5,0.00212707556784153
"(6213, 8, 7410)","[3.043826649062886e-11, 8.006187712794599e-09]","[7, 3]","[([(6213, 3, 6), (20420, 3, 6), (20420, 8, 7410)], 0.21299998, 'xrule'), ([(20319, 2, 31), (6213, 2, 31), (20319, 8, 7410)], 0.21219999, 'xrule'), ([(20319, 2, 729), (6213, 2, 729), (20319, 8, 7410)], 0.20599999, 'xrule'), ([(6213, 3, 1747)], 0.0031395698606124026, 'kelpie'), ([(6213, 3, 1747), (6213, 3, 78)], 0.003077104856909842, 'kelpie'), ([(6213, 3, 1964), (6213, 2, 729)], 0.002841700744328544, 'kelpie')]",1,4.018312989642614e-09,6,5.0,8.857455395627767e-05
"(5411, 8, 7410)","[3.451346430871638e-10, 1.919513579196064e-06]","[7, 1]","[([(5411, 2, 31), (17452, 8, 7410), (17452, 2, 31)], 0.3717, 'xrule'), ([(15709, 2, 68), (5411, 2, 68), (15709, 8, 7410)], 0.20049998, 'xrule'), ([(17452, 2, 68), (17452, 8, 7410), (5411, 2, 68)], 0.1704, 'xrule'), ([(5411, 3, 2257), (5411, 1, 65), (5411, 3, 5417)], 0.040095190461291355, 'kelpie'), ([(5411, 3, 2257), (5411, 1, 65), (5411, 3, 192), (5411, 3, 5417)], 0.039763315525853576, 'kelpie'), ([(5411, 3, 2257), (5411, 1, 65), (5411, 3, 138), (5411, 3, 5417)], 0.03954674208738155, 'kelpie')]",1,9.599293569195755e-07,6,4.0,0.010452235117554665
"(7610, 9, 7903)","[0.0008601258159615099, 7.759809523122385e-05]","[1, 5]","[([(18547, 9, 7903), (18547, 2, 30), (7610, 2, 30)], 0.16660002, 'xrule'), ([(7610, 2, 30), (15964, 2, 30), (15964, 9, 7903)], 0.093000025, 'xrule'), ([(7610, 2, 30), (12077, 2, 30), (12077, 9, 7903)], 0.082400024, 'xrule'), ([(7610, 3, 7618)], 0.03497162739460695, 'kelpie'), ([(7610, 2, 68), (7610, 3, 7617)], 0.03436470307464165, 'kelpie'), ([(7610, 3, 7617)], 0.033119982989320285, 'kelpie')]",1,0.0004688619555963669,6,3.0,0.00033357946085743606
"(7628, 12, 8676)","[0.0007568878354504704, 9.487264469498768e-05]","[10, 18]","[([(24810, 12, 8676), (24810, 3, 6), (7628, 3, 6)], 0.00029999999, 'xrule'), ([(7628, 3, 279), (7628, 3, 38)], 0.00020051370411598474, 'kelpie'), ([(24810, 12, 8676), (7628, 2, 31), (24810, 2, 31)], 0.0002, 'xrule'), ([(10818, 12, 8676), (7628, 3, 40), (10818, 3, 40)], 0.0002, 'xrule'), ([(7628, 3, 279)], 0.00018304343123161747, 'kelpie'), ([(7628, 8, 7393)], 0.00017001847747049337, 'kelpie')]",1,0.00042588024007272907,6,14.0,0.000957758747972548
"(6105, 8, 7427)","[1.7595124245737962e-15, 1.2611420588393152e-11]","[84, 21]","[([(23766, 3, 6), (23766, 8, 7427), (6105, 3, 6)], 0.18629998, 'xrule'), ([(12691, 3, 6), (12691, 8, 7427), (6105, 3, 6)], 0.113900006, 'xrule'), ([(6105, 3, 75), (6105, 1, 65), (6105, 3, 2350), (6105, 3, 149)], 0.0007043949267324595, 'kelpie'), ([(6105, 3, 75), (6105, 3, 276), (6105, 1, 65), (6105, 3, 2350)], -0.0004578608171227428, 'kelpie'), ([(6105, 3, 276), (6105, 1, 65), (6105, 3, 2350), (6105, 3, 149)], -0.0021340432995408994, 'kelpie'), ([(17302, 3, 6), (6105, 3, 6), (17302, 8, 7427)], -0.01060003, 'xrule')]",1,6.306590050408863e-12,6,52.5,0.001002475735731423
"(7450, 10, 7830)","[0.9748172760009766, 0.3077564835548401]","[1, 1]","[([(7450, 3, 706), (7450, 1, 65), (7450, 8, 7429), (7450, 2, 30)], 0.007291759320433695, 'kelpie'), ([(7450, 3, 276), (7450, 1, 65), (7450, 2, 30)], 0.007289178649496119, 'kelpie'), ([(7450, 3, 6637), (7450, 3, 706), (7450, 1, 65), (7450, 8, 7429)], 0.007282862394177014, 'kelpie'), ([(10676, 10, 7830), (7450, 1, 65), (10676, 1, 65)], 0.0, 'xrule'), ([(11081, 1, 65), (7450, 1, 65), (11081, 10, 7830)], 0.0, 'xrule'), ([(7450, 3, 51), (24270, 10, 7830), (24270, 3, 51)], 0.0, 'xrule')]",1,0.6412868797779083,6,1.0,5.266637259637719e-08
"(6263, 10, 7830)","[0.9648939967155457, 0.2037685066461563]","[1, 1]","[([(6263, 1, 65), (6263, 3, 41), (6263, 3, 2329), (6263, 2, 30)], 0.0013304247733998838, 'kelpie'), ([(6263, 3, 78), (6263, 3, 2366), (6263, 1, 65), (6263, 3, 5972)], 0.0013294535199404435, 'kelpie'), ([(6263, 3, 20), (6263, 3, 2366), (6263, 1, 65), (6263, 3, 5972)], 0.0013292053223648433, 'kelpie'), ([(19076, 10, 7830), (6263, 1, 65), (19076, 1, 65)], 0.0, 'xrule'), ([(20890, 1, 65), (6263, 1, 65), (20890, 10, 7830)], 0.0, 'xrule'), ([(23424, 10, 7830), (6263, 1, 65), (23424, 1, 65)], 0.0, 'xrule')]",1,0.584331251680851,6,1.0,1.688314910097688e-08
"(6137, 8, 7410)","[2.2223878987093215e-11, 4.696634903211816e-07]","[8, 2]","[([(21749, 3, 220), (21749, 8, 7410), (6137, 3, 220)], 0.0020000003, 'xrule'), ([(21749, 8, 7410), (21749, 3, 36), (6137, 3, 36)], 0.0015000002, 'xrule'), ([(6137, 3, 100)], 0.000988786666351531, 'kelpie'), ([(6137, 2, 29)], 0.0009868851380208752, 'kelpie'), ([(6137, 3, 902)], 0.0009725641291469227, 'kelpie'), ([(22798, 8, 7410), (22798, 3, 220), (6137, 3, 220)], 0.0007000002, 'xrule')]",1,2.3484285710008435e-07,6,5.0,0.0002039859682554379
"(5067, 10, 7830)","[0.9925092458724976, 0.3364807069301605]","[1, 1]","[([(5067, 2, 68)], 4.407320798531473e-06, 'kelpie'), ([(5067, 2, 27), (5067, 3, 1074), (5067, 2, 29), (5067, 2, 68)], 4.406855137190361e-06, 'kelpie'), ([(5067, 3, 4355), (5067, 2, 30), (5067, 3, 1074)], 4.40650589124018e-06, 'kelpie'), ([(9941, 10, 7830), (5067, 3, 40), (9941, 3, 40)], 0.0, 'xrule'), ([(12792, 10, 7830), (12792, 3, 40), (5067, 3, 40)], 0.0, 'xrule'), ([(14852, 3, 40), (5067, 3, 40), (14852, 10, 7830)], 0.0, 'xrule')]",1,0.664494976401329,6,1.0,5.568748662199141e-08
