prediction,new_rank,new_score,facts,new_scores,#facts,original_rank,new_ranks,original_score
"(5756, 8, 7408)",5.0,2.6741586,"[([(5756, 3, 75), (12494, 8, 7408), (12494, 3, 75)], 1.3710003, 'xrule'), ([(5756, 2, 31), (23521, 8, 7408), (23521, 2, 31)], 1.3395996, 'xrule'), ([(5756, 2, 31), (18557, 2, 31), (18557, 8, 7408)], 1.0668001, 'xrule'), ([(5756, 3, 37)], 0.59704117373718, 4.64497907203633), ([(5756, 2, 31), (21820, 2, 31), (21820, 8, 7408)], 0.5437994, 'xrule'), ([(17151, 8, 7408), (17151, 2, 31), (5756, 2, 31)], 0.31379986, 'xrule'), ([(9221, 2, 31), (9221, 8, 7408), (5756, 2, 31)], -0.6445999, 'xrule'), ([(5756, 2, 172), (23521, 8, 7408), (23521, 2, 172)], -1.4071999, 'xrule'), ([(25302, 2, 31), (5756, 2, 31), (25302, 8, 7408)], -2.2572002, 'xrule'), ([(17151, 8, 7408), (5756, 3, 75), (17151, 3, 75)], -2.3388004, 'xrule'), ([(5756, 2, 31), (12494, 8, 7408), (12494, 2, 31)], -2.4278002, 'xrule')]","[2.6174533, 2.7308636]",11,2,"[4, 6]",5.3250837
"(7788, 10, 7830)",1.0,2.8240926,"[([(7788, 2, 27), (23245, 2, 27), (23245, 10, 7830)], 3.2685995, 'xrule'), ([(23245, 3, 33), (7788, 3, 33), (23245, 10, 7830)], 3.2437, 'xrule'), ([(10095, 10, 7830), (10095, 3, 9), (7788, 3, 9)], 2.8853998, 'xrule'), ([(10095, 10, 7830), (7788, 3, 33), (10095, 3, 33)], 2.5407, 'xrule'), ([(10095, 10, 7830), (7788, 3, 1061), (10095, 3, 1061)], 2.4125004, 'xrule'), ([(7788, 3, 9), (24386, 10, 7830), (24386, 3, 9)], 2.2530003, 'xrule'), ([(7788, 3, 9), (8104, 3, 9), (8104, 10, 7830)], 1.8232002, 'xrule'), ([(7788, 3, 9), (23245, 10, 7830), (23245, 3, 9)], 1.8063002, 'xrule'), ([(10095, 2, 27), (7788, 2, 27), (10095, 10, 7830)], 1.5788002, 'xrule'), ([(22477, 10, 7830), (7788, 3, 9), (22477, 3, 9)], 0.8458996, 'xrule'), ([(10095, 10, 7830), (7788, 3, 504), (10095, 3, 504)], -0.26780033, 'xrule'), ([(7788, 3, 9)], -1.0290002307467085, 227.26327796619742)]","[2.6396456, 3.0085397]",12,3,"[1, 1]",2.5668676
"(5920, 10, 7830)",1.0,3.1264198,"[([(5920, 3, 150)], -0.017758329408385447, 16776.49556052431), ([(25366, 10, 7830), (5920, 3, 10), (25366, 3, 10)], -0.6097002, 'xrule'), ([(12470, 10, 7830), (12470, 3, 10), (5920, 3, 10)], -1.2447996, 'xrule'), ([(24357, 10, 7830), (24357, 3, 39), (5920, 3, 39)], -1.9756994, 'xrule'), ([(24357, 10, 7830), (24357, 2, 68), (5920, 2, 68)], -2.2074995, 'xrule'), ([(24469, 3, 39), (24469, 10, 7830), (5920, 3, 39)], -2.3844995, 'xrule'), ([(17562, 10, 7830), (5920, 3, 10), (17562, 3, 10)], -2.4235, 'xrule'), ([(24469, 3, 6), (24469, 10, 7830), (5920, 3, 6)], -2.4875994, 'xrule'), ([(8476, 10, 7830), (8476, 3, 10), (5920, 3, 10)], -2.5196, 'xrule'), ([(18668, 3, 10), (5920, 3, 10), (18668, 10, 7830)], -2.5884, 'xrule'), ([(17562, 3, 6), (17562, 10, 7830), (5920, 3, 6)], -3.2177, 'xrule')]","[3.0487309, 3.2041087]",11,5,"[1, 1]",3.567545
"(7107, 11, 7869)",2.0,3.0762124,"[([(7998, 11, 7869), (7998, 2, 30), (7107, 2, 30)], 2.4819994, 'xrule'), ([(8525, 11, 7869), (8525, 2, 30), (7107, 2, 30)], 1.8779001, 'xrule'), ([(12744, 3, 39), (7107, 3, 39), (12744, 11, 7869)], 1.8067999, 'xrule'), ([(9189, 11, 7869), (9189, 2, 30), (7107, 2, 30)], 1.0124998, 'xrule'), ([(12744, 11, 7869), (7107, 2, 30), (12744, 2, 30)], 0.8579998, 'xrule'), ([(9806, 11, 7869), (9806, 2, 30), (7107, 2, 30)], 0.7720995, 'xrule'), ([(9806, 11, 7869), (9806, 3, 39), (7107, 3, 39)], 0.61170006, 'xrule'), ([(9189, 11, 7869), (9189, 2, 266), (7107, 2, 266)], 0.34509945, 'xrule'), ([(8525, 3, 39), (8525, 11, 7869), (7107, 3, 39)], -0.00810051, 'xrule'), ([(7107, 3, 40)], -0.1830644203892918, 7.454361269708974), ([(9189, 11, 7869), (9189, 3, 39), (7107, 3, 39)], -0.43930054, 'xrule'), ([(7107, 3, 91), (9806, 3, 91), (9806, 11, 7869)], -0.88440037, 'xrule')]","[2.4909532, 3.6614714]",12,1,"[1, 3]",2.672183
"(7756, 10, 7830)",1.0,3.042958,"[([(7756, 3, 427)], -0.19128032465232905, 12.45232518141704), ([(7756, 8, 7408), (11145, 10, 7830), (11145, 8, 7408)], -1.7070999, 'xrule'), ([(7756, 3, 427), (14219, 10, 7830), (14219, 3, 427)], -1.7791996, 'xrule'), ([(11252, 3, 149), (11252, 10, 7830), (7756, 3, 149)], -2.0960999, 'xrule'), ([(9508, 10, 7830), (9508, 3, 149), (7756, 3, 149)], -2.1273994, 'xrule'), ([(11340, 10, 7830), (11340, 2, 68), (7756, 2, 68)], -2.4692993, 'xrule'), ([(7756, 2, 30), (11340, 10, 7830), (11340, 2, 30)], -2.8082, 'xrule'), ([(7756, 3, 6), (11340, 10, 7830), (11340, 3, 6)], -3.7781, 'xrule'), ([(7756, 8, 7408), (9508, 10, 7830), (9508, 8, 7408)], -4.2033997, 'xrule'), ([(7756, 8, 7408), (11252, 10, 7830), (11252, 8, 7408)], -5.021, 'xrule'), ([(7756, 8, 7408), (7982, 10, 7830), (7982, 8, 7408)], -5.2144995, 'xrule')]","[2.9780464, 3.1078696]",11,5,"[1, 1]",2.9227967
"(6320, 11, 7956)",1.0,3.0217628,"[([(20287, 11, 7956), (20287, 3, 9), (6320, 3, 9)], 4.217599, 'xrule'), ([(8347, 11, 7956), (8347, 3, 9), (6320, 3, 9)], 2.8542995, 'xrule'), ([(9782, 3, 9), (6320, 3, 9), (9782, 11, 7956)], 2.2025995, 'xrule'), ([(20287, 11, 7956), (20287, 3, 39), (6320, 3, 39)], 1.6859999, 'xrule'), ([(23198, 11, 7956), (23198, 3, 9), (6320, 3, 9)], 1.6472998, 'xrule'), ([(6320, 3, 1267)], 1.5823441258606603, 23388.82953623722), ([(24529, 2, 30), (24529, 11, 7956), (6320, 2, 30)], 1.1147003, 'xrule'), ([(23198, 2, 30), (23198, 11, 7956), (6320, 2, 30)], 0.72369957, 'xrule'), ([(11392, 3, 9), (6320, 3, 9), (11392, 11, 7956)], 0.2930994, 'xrule'), ([(20287, 11, 7956), (20287, 2, 30), (6320, 2, 30)], 0.25790024, 'xrule'), ([(11392, 3, 39), (11392, 11, 7956), (6320, 3, 39)], -0.5059004, 'xrule')]","[2.468024, 3.575502]",11,2,"[1, 1]",2.8491967
"(5822, 11, 7956)",1.0,2.9191494,"[([(5822, 2, 31), (23950, 2, 31), (23950, 11, 7956)], 1.6049995, 'xrule'), ([(5822, 3, 5830)], 1.3191395406509543, 17.789038502890293), ([(5822, 2, 31), (18220, 2, 31), (18220, 11, 7956)], 1.2961998, 'xrule'), ([(25688, 11, 7956), (25688, 4, 66), (5822, 4, 66)], 1.0613003, 'xrule'), ([(5822, 2, 31), (25693, 11, 7956), (25693, 2, 31)], 1.0549002, 'xrule'), ([(23950, 4, 66), (23950, 11, 7956), (5822, 4, 66)], 0.87300014, 'xrule'), ([(5822, 2, 31), (18159, 2, 31), (18159, 11, 7956)], 0.73600006, 'xrule'), ([(5822, 2, 31), (22309, 11, 7956), (22309, 2, 31)], 0.5241995, 'xrule'), ([(18211, 4, 66), (18211, 11, 7956), (5822, 4, 66)], 0.4187994, 'xrule'), ([(5822, 2, 31), (25688, 11, 7956), (25688, 2, 31)], -0.06000042, 'xrule'), ([(5822, 3, 7), (23950, 3, 7), (23950, 11, 7956)], -0.22370052, 'xrule'), ([(22309, 11, 7956), (5822, 3, 36), (22309, 3, 36)], -0.7248001, 'xrule')]","[2.3383648, 3.4999342]",12,1,"[1, 1]",2.6253808
"(5279, 11, 7956)",1.0,3.0327716,"[([(5279, 3, 2138)], 1.5815163365462743, 23520.82941915102), ([(5279, 3, 40), (22088, 3, 40), (22088, 11, 7956)], 0.9591007, 'xrule'), ([(5279, 3, 40), (15385, 3, 40), (15385, 11, 7956)], 0.91359997, 'xrule'), ([(24989, 3, 40), (5279, 3, 40), (24989, 11, 7956)], 0.56290054, 'xrule'), ([(5279, 3, 40), (13012, 3, 40), (13012, 11, 7956)], 0.15250015, 'xrule'), ([(19983, 11, 7956), (5279, 2, 131), (19983, 2, 131)], -0.22629929, 'xrule'), ([(17912, 3, 40), (5279, 3, 40), (17912, 11, 7956)], -0.33899975, 'xrule'), ([(18083, 11, 7956), (5279, 3, 40), (18083, 3, 40)], -0.35109997, 'xrule'), ([(19983, 11, 7956), (5279, 3, 40), (19983, 3, 40)], -1.3274994, 'xrule'), ([(22534, 3, 40), (22534, 11, 7956), (5279, 3, 40)], -1.8171997, 'xrule'), ([(16994, 11, 7956), (5279, 3, 40), (16994, 3, 40)], -2.271, 'xrule')]","[2.4809666, 3.5845764]",11,1,"[1, 1]",3.3306432
"(7125, 11, 7956)",1.0,3.1507645,"[([(7125, 3, 3454)], -0.060014684692599254, 800.4850008205096)]","[2.56422, 3.7373087]",1,3,"[1, 1]",3.6683598
"(4870, 8, 7567)",4.0,2.607838,"[([(19226, 3, 41), (19226, 8, 7567), (4870, 3, 41)], 3.653101, 'xrule'), ([(4870, 2, 30), (19226, 8, 7567), (19226, 2, 30)], 3.3546, 'xrule'), ([(10447, 2, 30), (10447, 8, 7567), (4870, 2, 30)], 2.8169003, 'xrule'), ([(4870, 2, 30), (19279, 2, 30), (19279, 8, 7567)], 2.4817, 'xrule'), ([(9326, 2, 30), (4870, 2, 30), (9326, 8, 7567)], 2.2328997, 'xrule'), ([(20364, 3, 41), (20364, 8, 7567), (4870, 3, 41)], 2.2245998, 'xrule'), ([(19279, 2, 709), (4870, 2, 709), (19279, 8, 7567)], 1.4657001, 'xrule'), ([(10447, 8, 7567), (10447, 3, 41), (4870, 3, 41)], 0.8710003, 'xrule'), ([(4870, 2, 172)], 0.5608740285173033, 11070.636654739486), ([(4870, 2, 30), (22471, 8, 7567), (22471, 2, 30)], 0.5345001, 'xrule'), ([(18972, 8, 7567), (4870, 2, 30), (18972, 2, 30)], 0.12720013, 'xrule')]","[2.4478383, 2.7678375]",11,2,"[4, 4]",5.0585365
"(5517, 10, 7830)",1.0,2.9115367,"[([(5517, 3, 40), (16502, 3, 40), (16502, 10, 7830)], 2.8344994, 'xrule'), ([(24665, 3, 78), (24665, 10, 7830), (5517, 3, 78)], 2.0770998, 'xrule'), ([(5517, 2, 30)], 2.0625582740875323, 20965.88721041522), ([(20277, 3, 10), (20277, 10, 7830), (5517, 3, 10)], 1.1890993, 'xrule'), ([(16502, 10, 7830), (16502, 3, 10), (5517, 3, 10)], 1.1430998, 'xrule'), ([(25528, 10, 7830), (25528, 3, 10), (5517, 3, 10)], 1.1087999, 'xrule'), ([(24665, 10, 7830), (24665, 3, 10), (5517, 3, 10)], 0.75239944, 'xrule'), ([(5517, 3, 40), (24665, 3, 40), (24665, 10, 7830)], 0.53679943, 'xrule'), ([(5517, 3, 40), (25528, 10, 7830), (25528, 3, 40)], 0.4470997, 'xrule'), ([(5517, 3, 40), (10944, 3, 40), (10944, 10, 7830)], 0.3807993, 'xrule'), ([(10944, 3, 10), (10944, 10, 7830), (5517, 3, 10)], 0.21109962, 'xrule'), ([(25528, 10, 7830), (25528, 3, 78), (5517, 3, 78)], 0.047099113, 'xrule'), ([(16502, 10, 7830), (16502, 3, 78), (5517, 3, 78)], -0.5113001, 'xrule'), ([(10944, 3, 78), (10944, 10, 7830), (5517, 3, 78)], -2.4675007, 'xrule')]","[2.7795544, 3.043519]",14,5,"[1, 1]",3.568142
"(6213, 10, 7830)",1.0,2.8578343,"[([(6213, 3, 20)], 1.428855006434149, 10.806722839817557)]","[2.6827934, 3.032875]",1,5,"[1, 1]",3.2811787
"(6373, 11, 7869)",2.0,3.2959585,"[([(11925, 3, 9), (6373, 3, 9), (11925, 11, 7869)], 1.7515001, 'xrule'), ([(6373, 3, 192), (11925, 11, 7869), (11925, 3, 192)], 1.5928001, 'xrule'), ([(24461, 11, 7869), (24461, 3, 78), (6373, 3, 78)], 1.2343006, 'xrule'), ([(6373, 1, 65)], 0.35706238107428695, 3718.5883291238124), ([(11925, 3, 78), (11925, 11, 7869), (6373, 3, 78)], 0.30860043, 'xrule'), ([(8542, 11, 7869), (8542, 3, 78), (6373, 3, 78)], 0.20020008, 'xrule'), ([(24461, 3, 9), (24461, 11, 7869), (6373, 3, 9)], -0.4517994, 'xrule'), ([(22039, 11, 7869), (6373, 3, 9), (22039, 3, 9)], -1.6561995, 'xrule'), ([(8542, 11, 7869), (8542, 3, 192), (6373, 3, 192)], -2.0302, 'xrule'), ([(22039, 3, 78), (22039, 11, 7869), (6373, 3, 78)], -2.8343, 'xrule'), ([(23789, 3, 78), (23789, 11, 7869), (6373, 3, 78)], -3.0416994, 'xrule')]","[2.6483893, 3.9435277]",11,2,"[1, 3]",3.463342
"(6966, 10, 7830)",1.0,3.0296822,"[([(6966, 3, 40), (11262, 10, 7830), (11262, 3, 40)], 5.0909996, 'xrule'), ([(6966, 3, 40), (25036, 3, 40), (25036, 10, 7830)], 4.9423, 'xrule'), ([(6966, 3, 40), (24001, 10, 7830), (24001, 3, 40)], 3.9734993, 'xrule'), ([(6966, 3, 3090), (15529, 3, 3090), (15529, 10, 7830)], 3.8990002, 'xrule'), ([(6966, 3, 40), (21444, 3, 40), (21444, 10, 7830)], 3.5872993, 'xrule'), ([(6966, 3, 40), (17084, 10, 7830), (17084, 3, 40)], 2.4445, 'xrule'), ([(6966, 2, 266), (17084, 10, 7830), (17084, 2, 266)], 2.3184996, 'xrule'), ([(6966, 3, 40), (25731, 10, 7830), (25731, 3, 40)], 2.3068, 'xrule'), ([(15740, 2, 2270), (6966, 2, 2270), (15740, 10, 7830)], 1.4733, 'xrule'), ([(6966, 2, 2270), (15529, 2, 2270), (15529, 10, 7830)], 1.4217997, 'xrule'), ([(6966, 3, 40), (24283, 3, 40), (24283, 10, 7830)], 1.0859995, 'xrule'), ([(6966, 3, 78)], 0.39245895729877645, 8362.596874492789)]","[2.9671006, 3.0922637]",12,4,"[1, 1]",3.772318
"(7450, 11, 7956)",1.0,2.9035013,"[([(21324, 3, 276), (21324, 11, 7956), (7450, 3, 276)], 2.2527008, 'xrule'), ([(12174, 3, 279), (12174, 11, 7956), (7450, 3, 279)], 1.4719, 'xrule'), ([(7450, 2, 70)], 1.316281378619908, 17.78856234952754), ([(11742, 3, 706), (11742, 11, 7956), (7450, 3, 706)], 0.55580044, 'xrule'), ([(11742, 3, 220), (7450, 3, 220), (11742, 11, 7956)], 0.14760017, 'xrule'), ([(16149, 2, 69), (16149, 11, 7956), (7450, 2, 69)], -0.32520008, 'xrule'), ([(7450, 3, 37), (11742, 3, 37), (11742, 11, 7956)], -0.7926998, 'xrule'), ([(21542, 3, 220), (21542, 11, 7956), (7450, 3, 220)], -0.9375, 'xrule'), ([(7450, 3, 220), (12174, 3, 220), (12174, 11, 7956)], -2.2412996, 'xrule'), ([(21324, 3, 220), (21324, 11, 7956), (7450, 3, 220)], -2.5654001, 'xrule'), ([(21069, 11, 7956), (21069, 3, 279), (7450, 3, 279)], -3.5565996, 'xrule')]","[2.2991767, 3.5078259]",11,1,"[1, 1]",2.4277787
"(5907, 11, 7956)",1.0,3.2086806,"[([(5907, 2, 1538)], 1.311536848723751, 18.78777020265026), ([(14665, 3, 75), (14665, 11, 7956), (5907, 3, 75)], 0.5025997, 'xrule'), ([(8872, 11, 7956), (8872, 3, 177), (5907, 3, 177)], -0.2109003, 'xrule'), ([(11328, 11, 7956), (5907, 2, 30), (11328, 2, 30)], -0.40250015, 'xrule'), ([(10538, 2, 31), (5907, 2, 31), (10538, 11, 7956)], -0.4477005, 'xrule'), ([(20037, 2, 31), (20037, 11, 7956), (5907, 2, 31)], -0.73639965, 'xrule'), ([(25047, 2, 31), (5907, 2, 31), (25047, 11, 7956)], -0.8050003, 'xrule'), ([(25047, 11, 7956), (25047, 3, 75), (5907, 3, 75)], -0.9054003, 'xrule'), ([(11328, 11, 7956), (5907, 2, 31), (11328, 2, 31)], -1.2619, 'xrule'), ([(20775, 11, 7956), (5907, 2, 31), (20775, 2, 31)], -2.8107004, 'xrule'), ([(8872, 11, 7956), (5907, 2, 31), (8872, 2, 31)], -2.8886003, 'xrule')]","[2.6064901, 3.8108711]",11,7,"[1, 1]",3.9130654
"(7177, 10, 7830)",1.0,3.0345542,"[([(7177, 3, 79)], 2.17728816476765, 2.8981913496544887), ([(7177, 3, 39), (20375, 10, 7830), (20375, 3, 39)], 0.9286003, 'xrule'), ([(7177, 2, 30), (19447, 10, 7830), (19447, 2, 30)], 0.80840015, 'xrule'), ([(7177, 3, 39), (17418, 10, 7830), (17418, 3, 39)], 0.6274004, 'xrule'), ([(7177, 3, 39), (15316, 3, 39), (15316, 10, 7830)], 0.3479004, 'xrule'), ([(7177, 2, 30), (15316, 10, 7830), (15316, 2, 30)], 0.2130003, 'xrule'), ([(7177, 2, 30), (10538, 10, 7830), (10538, 2, 30)], -0.35620022, 'xrule'), ([(24927, 10, 7830), (7177, 3, 39), (24927, 3, 39)], -0.8143997, 'xrule'), ([(19773, 10, 7830), (19773, 3, 39), (7177, 3, 39)], -1.4054003, 'xrule'), ([(7177, 3, 39), (19447, 10, 7830), (19447, 3, 39)], -1.7776995, 'xrule'), ([(7177, 2, 30), (20375, 10, 7830), (20375, 2, 30)], -1.8381996, 'xrule')]","[2.9246316, 3.144477]",11,5,"[1, 1]",3.7173736
"(7335, 8, 7410)",1.0,2.3143454,"[([(22576, 2, 30), (22576, 8, 7410), (7335, 2, 30)], 1.4598999, 'xrule'), ([(14991, 3, 7), (7335, 3, 7), (14991, 8, 7410)], 1.2737999, 'xrule'), ([(14991, 2, 30), (7335, 2, 30), (14991, 8, 7410)], 0.92199993, 'xrule'), ([(7335, 3, 40), (21150, 3, 40), (21150, 8, 7410)], 0.4732008, 'xrule'), ([(7335, 3, 40), (14991, 8, 7410), (14991, 3, 40)], 0.43930054, 'xrule'), ([(23039, 8, 7410), (7335, 2, 30), (23039, 2, 30)], 0.10760021, 'xrule'), ([(15126, 2, 30), (15126, 8, 7410), (7335, 2, 30)], -0.38329983, 'xrule'), ([(12501, 2, 30), (12501, 8, 7410), (7335, 2, 30)], -0.4784994, 'xrule'), ([(7335, 3, 1270)], -0.7912177573407277, 24.311907243124676), ([(25661, 2, 30), (25661, 8, 7410), (7335, 2, 30)], -0.95790005, 'xrule'), ([(7335, 3, 40), (25527, 3, 40), (25527, 8, 7410)], -1.3923998, 'xrule'), ([(25527, 2, 30), (25527, 8, 7410), (7335, 2, 30)], -2.3451996, 'xrule')]","[2.2033386, 2.4253519]",12,2,"[1, 1]",5.0394883
"(5645, 8, 7429)",1.5,2.468797,"[([(19995, 8, 7429), (19995, 2, 68), (5645, 2, 68)], 5.1827, 'xrule'), ([(19995, 3, 78), (19995, 8, 7429), (5645, 3, 78)], 3.2505007, 'xrule'), ([(17731, 8, 7429), (17731, 3, 78), (5645, 3, 78)], 2.4745007, 'xrule'), ([(17731, 8, 7429), (17731, 3, 10), (5645, 3, 10)], 2.3665, 'xrule'), ([(21989, 8, 7429), (21989, 3, 78), (5645, 3, 78)], 2.1115007, 'xrule'), ([(13275, 8, 7429), (13275, 2, 68), (5645, 2, 68)], 1.9361, 'xrule'), ([(5645, 3, 6), (17731, 8, 7429), (17731, 3, 6)], 1.9300003, 'xrule'), ([(17731, 8, 7429), (17731, 2, 68), (5645, 2, 68)], 1.6522007, 'xrule'), ([(13275, 3, 78), (13275, 8, 7429), (5645, 3, 78)], 1.4242, 'xrule'), ([(25503, 3, 78), (25503, 8, 7429), (5645, 3, 78)], 1.1020002, 'xrule'), ([(5645, 2, 266)], -0.8747882361795803, 9.294258937377052)]","[2.3207846, 2.6168094]",11,6,"[1, 2]",4.9103956
"(6966, 11, 7956)",1.0,3.0646658,"[([(25748, 3, 39), (25748, 11, 7956), (6966, 3, 39)], 2.7957, 'xrule'), ([(13851, 3, 39), (13851, 11, 7956), (6966, 3, 39)], 2.5640001, 'xrule'), ([(11742, 3, 39), (11742, 11, 7956), (6966, 3, 39)], 2.5495996, 'xrule'), ([(6966, 3, 9), (11742, 3, 9), (11742, 11, 7956)], 2.3739004, 'xrule'), ([(17302, 11, 7956), (17302, 3, 2278), (6966, 3, 2278)], 2.0341997, 'xrule'), ([(13851, 11, 7956), (6966, 3, 9), (13851, 3, 9)], 1.4302006, 'xrule'), ([(17302, 11, 7956), (17302, 3, 39), (6966, 3, 39)], 1.3664999, 'xrule'), ([(6966, 3, 297)], 1.3120709063809284, 16.787859477118623), ([(25748, 11, 7956), (6966, 3, 9), (25748, 3, 9)], 0.8668003, 'xrule'), ([(13224, 3, 39), (13224, 11, 7956), (6966, 3, 39)], 0.84420013, 'xrule'), ([(13224, 11, 7956), (6966, 3, 9), (13224, 3, 9)], -0.29629993, 'xrule')]","[2.521428, 3.6079035]",11,3,"[1, 1]",3.4898267
"(6900, 8, 7566)",3.0,2.79887,"[([(25523, 3, 41), (6900, 3, 41), (25523, 8, 7566)], 4.1246996, 'xrule'), ([(6900, 3, 297), (24271, 3, 297), (24271, 8, 7566)], 3.777501, 'xrule'), ([(11842, 3, 41), (6900, 3, 41), (11842, 8, 7566)], 2.7969007, 'xrule'), ([(6900, 3, 40), (24271, 3, 40), (24271, 8, 7566)], 2.5600004, 'xrule'), ([(19995, 3, 40), (6900, 3, 40), (19995, 8, 7566)], 2.4412003, 'xrule'), ([(6900, 3, 40), (8301, 8, 7566), (8301, 3, 40)], 2.3785, 'xrule'), ([(6900, 3, 5846)], 1.550275871817924, 163.8249535627319), ([(19995, 2, 31), (6900, 2, 31), (19995, 8, 7566)], 1.3661003, 'xrule'), ([(6900, 3, 40), (11842, 8, 7566), (11842, 3, 40)], 1.3257008, 'xrule'), ([(6900, 2, 2270), (24271, 2, 2270), (24271, 8, 7566)], 1.1492004, 'xrule'), ([(11565, 8, 7566), (11565, 3, 40), (6900, 3, 40)], 0.90420055, 'xrule'), ([(24894, 2, 31), (6900, 2, 31), (24894, 8, 7566)], 0.69860077, 'xrule'), ([(6900, 2, 31), (8301, 8, 7566), (8301, 2, 31)], 0.6394005, 'xrule'), ([(23245, 8, 7566), (6900, 3, 40), (23245, 3, 40)], 0.54970074, 'xrule'), ([(6900, 3, 40), (24894, 8, 7566), (24894, 3, 40)], -0.062399864, 'xrule'), ([(23245, 8, 7566), (6900, 2, 31), (23245, 2, 31)], -1.2357998, 'xrule')]","[2.6509302, 2.9468102]",16,1,"[4, 2]",5.7092123
"(7065, 10, 7830)",1.0,2.904277,"[([(14130, 3, 9), (7065, 3, 9), (14130, 10, 7830)], 3.6093998, 'xrule'), ([(7065, 2, 31), (14130, 2, 31), (14130, 10, 7830)], 2.7363997, 'xrule'), ([(14428, 3, 9), (14428, 10, 7830), (7065, 3, 9)], 2.4678993, 'xrule'), ([(7065, 2, 31), (23974, 10, 7830), (23974, 2, 31)], 1.8597994, 'xrule'), ([(14130, 3, 219), (14130, 10, 7830), (7065, 3, 219)], 1.0359001, 'xrule'), ([(7065, 2, 31), (14428, 10, 7830), (14428, 2, 31)], 0.8437996, 'xrule'), ([(23974, 10, 7830), (23974, 3, 1839), (7065, 3, 1839)], 0.48919964, 'xrule'), ([(14428, 2, 68), (14428, 10, 7830), (7065, 2, 68)], 0.31259918, 'xrule'), ([(7065, 3, 192), (16399, 3, 192), (16399, 10, 7830)], -0.53490067, 'xrule'), ([(7065, 3, 1855)], -1.224048557530514, 2547.227224754515), ([(16399, 3, 9), (7065, 3, 9), (16399, 10, 7830)], -1.5075006, 'xrule')]","[2.7214785, 3.0870757]",11,5,"[1, 1]",3.4794037
"(5533, 8, 7429)",2.0,2.4049966,"[([(5533, 2, 30)], 1.0853424601755142, 0.7475036523018757), ([(12545, 3, 519), (12545, 8, 7429), (5533, 3, 519)], -0.42580032, 'xrule'), ([(5533, 3, 20), (22633, 3, 20), (22633, 8, 7429)], -2.268301, 'xrule'), ([(5533, 2, 709), (15971, 8, 7429), (15971, 2, 709)], -2.282401, 'xrule'), ([(20786, 2, 709), (5533, 2, 709), (20786, 8, 7429)], -2.434101, 'xrule'), ([(20786, 3, 892), (5533, 3, 892), (20786, 8, 7429)], -2.6857004, 'xrule'), ([(12545, 1, 1054), (5533, 1, 1054), (12545, 8, 7429)], -3.0388002, 'xrule'), ([(15971, 3, 519), (15971, 8, 7429), (5533, 3, 519)], -3.4978008, 'xrule'), ([(5533, 2, 709), (12545, 2, 709), (12545, 8, 7429)], -4.238901, 'xrule'), ([(20786, 3, 20), (20786, 8, 7429), (5533, 3, 20)], -5.4331007, 'xrule')]","[2.336506, 2.4734874]",10,1,"[1, 3]",4.629287
"(5907, 8, 7566)",3.0,2.6458125,"[([(16437, 3, 177), (16437, 8, 7566), (5907, 3, 177)], 2.7019997, 'xrule'), ([(24258, 4, 66), (5907, 4, 66), (24258, 8, 7566)], 2.2480993, 'xrule'), ([(24258, 8, 7566), (5907, 2, 30), (24258, 2, 30)], 0.9926996, 'xrule'), ([(24091, 3, 177), (24091, 8, 7566), (5907, 3, 177)], 0.9673996, 'xrule'), ([(5907, 2, 709), (16437, 2, 709), (16437, 8, 7566)], -0.08370018, 'xrule'), ([(5907, 2, 31), (20946, 8, 7566), (20946, 2, 31)], -0.10170078, 'xrule'), ([(5907, 2, 30), (16437, 2, 30), (16437, 8, 7566)], -1.4101, 'xrule'), ([(16437, 8, 7566), (5907, 2, 1538), (16437, 2, 1538)], -1.4469004, 'xrule'), ([(5907, 3, 712)], -1.5685748353633877, 4.172419645146637), ([(5907, 2, 31), (24258, 8, 7566), (24258, 2, 31)], -2.1803007, 'xrule'), ([(5907, 2, 31), (16437, 8, 7566), (16437, 2, 31)], -2.1844006, 'xrule')]","[2.5091953, 2.7824297]",11,1,"[4, 2]",5.352762
"(7125, 11, 7869)",2.0,3.363396,"[([(7125, 2, 68), (14192, 2, 68), (14192, 11, 7869)], 2.4764004, 'xrule'), ([(7125, 3, 9), (11925, 3, 9), (11925, 11, 7869)], 1.8695002, 'xrule'), ([(13761, 11, 7869), (7125, 2, 2584), (13761, 2, 2584)], 1.7997999, 'xrule'), ([(7125, 3, 10)], 1.5757160890908368, 6.828596945822445), ([(7125, 2, 68), (11192, 2, 68), (11192, 11, 7869)], 1.0156002, 'xrule'), ([(7125, 2, 68), (13761, 2, 68), (13761, 11, 7869)], 0.85789967, 'xrule'), ([(13761, 3, 220), (7125, 3, 220), (13761, 11, 7869)], 0.7692003, 'xrule'), ([(12557, 3, 220), (7125, 3, 220), (12557, 11, 7869)], 0.6105995, 'xrule'), ([(11925, 3, 220), (11925, 11, 7869), (7125, 3, 220)], 0.34249973, 'xrule'), ([(7125, 2, 68), (11925, 11, 7869), (11925, 2, 68)], -0.013299942, 'xrule'), ([(7125, 3, 9), (11192, 11, 7869), (11192, 3, 9)], -0.44719982, 'xrule'), ([(10914, 2, 68), (7125, 2, 68), (10914, 11, 7869)], -0.8823004, 'xrule')]","[2.787191, 3.939601]",12,3,"[1, 3]",3.5670092
